Año,Trimestre,Provincia,Accesos por cada 100 hab
2024,2,Buenos Aires,27.43
2024,2,Capital Federal,47.44
2024,2,Catamarca,17.5
2024,2,Chaco,11.78
2024,2,Chubut,26.46
2024,2,Córdoba,27.79
2024,2,Corrientes,13.53
2024,2,Entre Ríos,20.52
2024,2,Formosa,10.1
2024,2,Jujuy,14.91
2024,2,La Pampa,33.33
2024,2,La Rioja,21.17
2024,2,Mendoza,14.6
2024,2,Misiones,15.72
2024,2,Neuquén,23.49
2024,2,Río Negro,21.95
2024,2,Salta,13.49
2024,2,San Juan,13.03
2024,2,San Luis,29.59
2024,2,Santa Cruz,20.8
2024,2,Santa Fe,25.58
2024,2,Santiago Del Estero,12.33
2024,2,Tierra Del Fuego,32.28
2024,2,Tucumán,15.07
